timestep,object1,object2,y_bottom,y_center,y_top,area_1d,area_2d,intersection_1d,intersection_2d,spurious_intersection,shape_type
57.0,16,147,0.5636154062596457,0,0.607457055397937,0.013869623143454303,5396.0,True,True,False,rect
58.0,16,147,0.5735524654288646,0,0.6297617949523653,0.005590517112122253,2175.0,True,True,False,rect
115.0,559,563,-0.23328687731317369,0,0.22439869144161845,0.10651146239285937,38100.0,True,True,False,rect
118.0,559,563,-0.2621165567368495,0,0.3650280812932325,0.009641392959803666,3751.0,True,True,False,rect
119.0,559,563,-0.18453929126021296,0,0.3584734191338656,0.08584978002064729,33400.0,True,True,False,rect
120.0,559,563,-0.1241436135389545,0,0.4101984404298843,0.08223072342576528,31992.0,True,True,False,rect
121.0,115,559,0.021751627796591427,0,0.5774361769781557,0.0013982718662000715,544.0,True,True,False,rect
121.0,559,563,-0.21149502753195573,0,0.47380384022767386,0.002606337632967079,1014.0,True,True,False,rect
122.0,115,559,0.08712629097140825,0,0.6298262751209047,0.007690495264122193,2992.0,True,True,False,rect
123.0,115,559,0.011478640274060065,0,0.5719269097841077,0.0034185690846547444,1330.0,True,True,False,rect
123.0,559,563,-0.18701256269383731,0,0.4716617350643836,0.022387771975446277,8710.0,True,True,False,rect
124.0,115,559,0.10099897184399417,0,0.6330062887813374,0.015031422561696508,5848.0,True,True,False,rect
125.0,115,559,0.12940697084975922,0,0.6220964593924119,0.019647776002330357,7644.0,True,True,False,rect
126.0,115,559,0.1649335810415543,0,0.5999015158916798,0.033311770930168356,12960.0,True,True,False,rect
127.0,115,559,0.1649335810415543,0,0.5999015158916798,0.033311770930168356,12960.0,True,True,False,rect
128.0,115,559,0.178314767961414,0,0.5947975830116886,0.014023844305168252,5456.0,True,True,False,rect
129.0,115,559,0.19495944806518098,0,0.5775136075384308,0.020079595255129198,7812.0,True,True,False,rect
130.0,115,559,0.24389975818450596,0,0.5760750048312681,0.029302020725610854,11400.0,True,True,False,rect
131.0,115,559,0.2571075768821122,0,0.5755871275844584,0.026448929233908926,10290.0,True,True,False,rect
132.0,115,559,0.3041629498911955,0,0.5830547851658603,0.037714785097095804,14673.0,True,True,False,rect
133.0,115,559,0.3158538286111731,0,0.5903160894077271,0.031808114603459045,12375.0,True,True,False,rect
133.0,147,196,0.6397075584071326,0,0.7392230469240717,0.008453890014614683,3289.0,True,True,False,rect
134.0,147,196,0.647976051060174,0,0.7324721119946703,0.016789543805235355,6532.0,True,True,False,rect
134.0,115,559,0.3193097642345164,0,0.5973448152774375,0.021968804486122716,8547.0,True,True,False,rect
135.0,147,196,0.6588524455968645,0,0.7618678977005008,0.00398661703029028,1551.0,True,True,False,rect
135.0,115,559,0.3255500992932458,0,0.6183132712798284,0.009623400490937803,3744.0,True,True,False,rect
135.0,177,563,0.010898017950169536,0,0.320201409530532,0.004382451345376936,1705.0,True,True,False,rect
136.0,115,559,0.32714125435748176,0,0.591412066717446,0.015614892623519797,6075.0,True,True,False,rect
136.0,177,563,0.03696856949557321,0,0.31905192603348,0.021115447391306726,8215.0,True,True,False,rect
137.0,177,563,0.01554730871359545,0,0.29763066525150217,0.021115447391306726,8215.0,True,True,False,rect
137.0,177,198,-0.03668654197461717,0,0.09574231280474016,0.014972304449709062,5825.0,True,True,False,rect
137.0,115,559,0.306909424285221,0,0.5768735678651205,0.012491914098814645,4860.0,True,True,False,rect
138.0,177,563,0.0387926154184893,0,0.2758733801840946,0.05035835000492842,12956.0,True,True,False,rect
138.0,177,198,0.0010726896160037358,0,0.1495405452135893,0.005808997091217758,2260.0,True,True,False,rect
138.0,115,559,0.2874358975875236,0,0.5736061149108574,0.0006271660576278164,244.0,True,True,False,rect
138.0,198,563,0.0010726896160037358,0,0.2758733801840946,0.02189940496335186,8520.0,True,True,False,rect
139.0,177,353,0.10190693372085624,0,0.20035144194812793,0.030921342923605318,0.0,True,False,True,rect
139.0,177,563,-0.07733232755977806,0,0.18651437660547737,0.03539375661330529,9184.0,True,True,False,rect
139.0,353,563,-0.07733232755977806,0,0.20035144194812793,0.015550633806136001,6050.0,True,True,False,rect
139.0,198,563,-0.07733232755977806,0,0.16089652807636282,0.04296858600614476,9782.0,True,True,False,rect
139.0,198,353,0.06799112990731075,0,0.20035144194812793,0.002775980910847414,1080.0,True,True,False,rect
139.0,177,198,0.06799112990731075,0,0.18651437660547737,0.0226191037180167,8800.0,True,True,False,rect
140.0,353,563,-0.09312479314427032,0,0.17536568155703325,0.021411037951258368,8330.0,True,True,False,rect
140.0,177,563,-0.06343721951437542,0,0.24058838119846918,0.011589720302787921,4509.0,True,True,False,rect
140.0,198,563,-0.06343721951437542,0,0.21833769470010336,0.015825661544525534,6157.0,True,True,False,rect
140.0,115,559,0.2530076828336426,0,0.5305715025490897,0.003174385578616799,1235.0,True,True,False,rect
140.0,177,198,0.14898957898282503,0,0.24058838119846918,0.037372928188630965,11067.0,True,True,False,rect
141.0,198,563,-0.05712350574455402,0,0.24658508480254554,0.0006682917007595688,260.0,True,True,False,rect
141.0,353,563,-0.086254169623816,0,0.17932752261072013,0.020100158076691507,7820.0,True,True,False,rect
141.0,115,559,0.2842413943758244,0,0.5390832962654625,0.01472040988557675,5727.0,True,True,False,rect
141.0,177,198,0.17821370310945422,0,0.2707206966107462,0.03664294802318572,14256.0,True,True,False,rect
141.0,16,196,0.5526039940305406,0,0.6339299533075878,0.012630713144354723,4914.0,True,True,False,rect
142.0,177,198,0.1891620486717917,0,0.28009255918667453,0.03740377242097478,14552.0,True,True,False,rect
