timestep,object1,object2,y_bottom,y_center,y_top,area_1d,area_2d,intersection_1d,intersection_2d,spurious_intersection,shape_type
107.0,24,148,0.5665141387408346,0,0.5758575530949043,0.00027092705242532674,7722.855084107021,True,True,False,rect
112.0,3,166,0.6528467431853775,0,0.6861433447913367,0.0012013019203044204,34243.46354384739,True,True,False,rect
112.0,25,92,0.45591726789006964,0,0.46216079091602347,0.0005394150003726288,15376.182779750714,True,True,False,rect
112.0,60,222,0.460903416879061,0,0.48589167600197913,7.10714055228927e-05,2025.9112575270262,True,True,False,rect
112.0,60,92,0.4565346170761597,0,0.48587276638200927,0.0007544244221774727,21505.089404066806,True,True,False,rect
113.0,60,222,0.240590850425488,0,0.28773318506259576,0.002701678207085275,77012.1296135911,True,True,False,rect
113.0,3,166,0.5783716496099688,0,0.6121102082676781,0.0007885165934797525,22476.896745245154,True,True,False,rect
114.0,60,222,0.20344820544955428,0,0.2605133759278732,0.0001670627122750663,4762.171607849214,True,True,False,rect
114.0,93,280,0.358309577076448,0,0.4181945300783831,0.00014447521295885975,4118.308315609805,True,True,False,rect
115.0,93,203,0.2555381545078289,0,0.35563761772949365,2.2467397875480587e-07,6.404397654169146,True,True,False,rect
115.0,60,222,0.0730563207075742,0,0.1265891713199418,0.001460038161352395,41618.81597444834,True,True,False,rect
115.0,151,280,0.39599266056285687,0,0.43168983211007017,0.0034152476893668415,97352.63697431792,True,True,False,rect
116.0,107,152,0.5965757015641373,0,0.6238051557998274,0.005022949166464971,143180.63906937905,True,True,False,rect
116.0,107,190,0.595704927905108,0,0.6196643827060571,0.00010710530392767824,3053.068099210063,True,True,False,rect
116.0,151,280,0.1254198196428189,0,0.19069005952445628,0.004287430654012851,122214.4681667882,True,True,False,rect
117.0,151,280,0.09638356129076603,0,0.1920269928115348,0.001456357100416253,41513.886247560586,True,True,False,rect
117.0,222,280,0.08175204256514917,0,0.13888377456163467,2.7672590760862995e-06,78.88168685820881,True,True,False,rect
117.0,5,190,0.4813489003356347,0,0.5102512763850318,0.0002066916108712216,5891.804984303244,True,True,False,rect
118.0,151,280,0.06120857606021411,0,0.12646072193938768,0.0005635178111382702,16063.240469892044,True,True,False,rect
118.0,190,252,0.29959091933532084,0,0.3263760093959542,0.003885225573391734,110749.49438885468,True,True,False,rect
118.0,5,28,0.49390485700039205,0,0.5116174985118773,7.0980617969950585e-06,202.33233317059228,True,True,False,rect
118.0,222,280,0.051838188244412324,0,0.08808809404687871,0.000852584472529053,24303.17042641719,True,True,False,rect
119.0,109,154,0.5286391920113201,0,0.5370641340599225,0.0006066428641223696,17292.53275195633,True,True,False,rect
119.0,28,109,0.5136389974808783,0,0.5327764821548148,2.0939656885765404e-06,59.689106181982766,True,True,False,rect
119.0,5,28,0.48546588116515144,0,0.5286426819541344,0.0009853605394931093,28087.991154941687,True,True,False,rect
119.0,151,222,0.058915638918019146,0,0.09053060747497399,0.001373798560986709,39160.530873995805,True,True,False,rect
120.0,5,154,0.2636282852248156,0,0.3719309222089361,0.0047967319488724115,136732.2509392235,True,True,False,rect
120.0,5,109,0.2636282852248156,0,0.3698980723799565,0.011406714945687194,325151.7547718161,True,True,False,rect
120.0,29,82,0.43185226737168225,0,0.45857619931164134,0.0002964731250991114,8400.517001831045,True,True,False,rect
120.0,5,252,0.2463947314430252,0,0.32842146943507616,0.0035853921635431766,102202.65510901807,True,True,False,rect
120.0,82,223,0.43493533938471657,0,0.4702630985023879,0.008359024253336365,238276.4377908383,True,True,False,rect
120.0,109,154,0.30941027785893066,0,0.3719309222089361,0.029682693715800363,578329.3185779752,True,True,False,rect
121.0,82,223,0.3694349806386918,0,0.4231954668516541,0.0016947337278120983,48308.88192550401,True,True,False,rect
121.0,82,154,0.3511032247673825,0,0.403239241798031,2.9004675387333813e-05,826.7867781117078,True,True,False,rect
121.0,5,252,0.18552161537013434,0,0.22729283934322322,0.006546960352720553,186623.0248798938,True,True,False,rect
121.0,29,223,0.4004146855850108,0,0.4231954668516541,0.011100764919637634,0.0,True,False,True,rect
121.0,29,82,0.3694349806386918,0,0.4193973964498514,0.00140587212854548,40074.797324075975,True,True,False,rect
122.0,82,223,0.30201017191021634,0,0.3719334180506078,1.3696692820985715e-05,390.4282456884082,True,True,False,rect
122.0,82,154,0.2898335394705363,0,0.3349639895417898,0.002724062874361218,77650.21111903839,True,True,False,rect
122.0,110,223,0.3349411617204215,0,0.37224252679714775,0.0001344437401371455,3832.3582408975444,True,True,False,rect
122.0,5,252,0.15712845909832962,0,0.23073111338751084,0.0008345307319971439,23788.54325823831,True,True,False,rect
123.0,29,255,0.4911922006970962,0,0.5783038370289919,0.0010790008334559018,30757.235196019858,True,True,False,rect
123.0,82,223,0.07458499078703877,0,0.12992399832027474,0.013563740708518417,386638.40673171007,True,True,False,rect
123.0,137,192,0.6389899651779942,0,0.6710207894361854,0.0003812705178518802,10868.227926495218,True,True,False,rect
123.0,192,240,0.6611975070810182,0,0.6713930250024286,0.0003862779430523008,11010.96605036017,True,True,False,rect
123.0,83,284,0.6059768188391389,0,0.6113169833678473,0.0002647223522490114,7545.988281877932,True,True,False,rect
123.0,53,154,0.37327319733433256,0,0.46351921888694914,0.0007598585969024447,21659.992148881982,True,True,False,rect
124.0,82,223,0.010712973575668937,0,0.08541518977325946,0.010402044048675327,296513.31621273817,True,True,False,rect
124.0,29,255,0.5350415813892438,0,0.6526148526846306,0.027192955960366357,775143.1845229412,True,True,False,rect
124.0,97,112,0.7415033130227796,0,0.7646883931478381,0.00022535515136852045,6423.814679620104,True,True,False,rect
